"Reactome Pathway Term","Adjusted P-value","Size","Leading Edge"
"Degradation of GLI1 by the proteasome","1.641e-04","57","CUL1, GLI1, ITCH, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"Degradation of GLI2 by the proteasome","1.099e-04","57","PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"Degradation of beta-catenin by the destruction complex","4.289e-04","81","APC, CTNNB1, CUL1, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, TLE2, UBA52, UBC"
"Degradation of the extracellular matrix","1.461e-02","72","A2M, BCAN, BSG, CAPN1, CAPN14, CAPN15, CAPN2, CAPN5, CAPN8, CAPNS1, CD44, CDH1, COL17A1, COL4A2, COL4A4, COL4A5, COL5A2, COL6A1, COL9A3, CTSB, CTSD, FBN3, FN1, FURIN, HSPG2, KLK7, LAMA3, LAMA5, LAMB3, LAMC1, LAMC2, MMP11, NCSTN, PHYKPL, TIMP1, TMPRSS6"
"Deposition of new CENPA-containing nucleosomes at the centromere","3.898e-02","45","CENPC, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CENPW, H2AZ1, HJURP, ITGB3BP, KNL1, MIS18A, MIS18BP1, NPM1, RSF1, SMARCA5"
"Deubiquitination","1.255e-02","242","ABRAXAS1, ACTL6A, APC, ATXN3, BIRC2, BIRC3, BRCA1, BRCC3, CCNA2, CCP110, CDK1, H2AC6, IFIH1, INO80D, MAP3K7, MYSM1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, PTRH2, RHOT1, RIPK2, RPS27A, SEM1, SKP2, SMURF2, SNX3, STAMBPL1, TAF9B, TGFBR1, TNKS, TNKS2, TOMM20, TOMM70, UBA52, UBC, UBE2D1, UCHL5, USP12, USP13, USP14, USP15, USP16, USP33, USP34, USP37, USP44, USP47, USP8, USP9X, VCPIP1, VDAC3, YOD1, YY1"
"Diseases of DNA Double-Strand Break Repair","1.614e-05","41","ATM, ATR, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC3, RMI1, RPA3, SEM1, TOPBP1"
"Diseases of DNA repair","3.193e-07","51","ATM, ATR, BLM, BRCA1, BRCA2, DNA2, MRE11, MSH2, NBN, NEIL1, NEIL3, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC3, RMI1, RPA3, SEM1, TOPBP1"
"Diseases of mitotic cell cycle","3.426e-02","37","ATRX, CCNE2, CDC27, CDK6, CDKN1C, RB1, SKP2, TFDP2, UBE2D1"
"Diseases of signal transduction by growth factor receptors and second messengers","4.155e-02","376","AGGF1, AGK, AKAP9, APC, BIRC6, BRAF, CALM2, CAMK2D, CCNC, CNTRL, CREB1, CTNNB1, CUL1, DKK1, DUSP10, ERBIN, FGFR1OP2, FIP1L1, FRS2, FXR1, FZD6, GCC2, GOLGA4, GOLGB1, GTF2F2, HDAC2, HDAC8, HDAC9, HEY1, HSP90AA1, JAK2, KIF5B, KITLG, KRAS, MAML2, MET, MIB1, NF1, NPM1, NRAS, NRG1, PDGFB, PIK3CA, POLR2B, POLR2H, POLR2K, PPP1CB, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, PSENEN, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, PTPN11, RANBP2, RAP1A, RAP1B, RBPJ, RBX1, RICTOR, RPS27A, RPS6, SEM1, SHH, SHOC2, SKP1, SOS1, STAT1, STRN, TBL1XR1, TGFBR1, TNKS, TNKS2, TPR, TRIM24, TRIP11, UBA52, UBC, YES1, ZFYVE9, ZMYM2"
"Disorders of transmembrane transporters","2.754e-02","129","NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RANBP2, RNF185, RPS27A, SEH1L, SEM1, SLC16A1, SLC26A2, SLC35A1, SLC35A3, SLCO1B1, SLCO1B3, TPR, UBA52, UBC"
"Downstream TCR signaling","3.501e-04","76","MAP3K7, PIK3CA, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, RIPK2, RPS27A, SEM1, SKP1, UBA52, UBC, UBE2D1, UBE2D2, UBE2N"
"Downstream signaling events of B Cell Receptor (BCR)","3.418e-03","79","CALM2, KRAS, MAP3K7, NRAS, PPIA, PPP3CB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA52, UBC"
"E2F mediated regulation of DNA replication","2.717e-02","22","CDK1, ORC3, ORC4, ORC5, PPP2CA, PPP2R1B, PRIM1, PRIM2, RB1, TFDP2"
"ECM proteoglycans","1.177e-03","37","AGRN, APP, BCAN, COL4A2, COL4A4, COL4A5, COL5A2, COL6A1, COL9A3, DAG1, FN1, HSPG2, ITGA2, ITGA7, ITGB5, LAMA2, LAMA3, LAMA5, LAMB2, LAMC1, NCAM1, PTPRS, TGFB1, TNC"
"EML4 and NUDC in mitotic spindle formation","4.218e-06","106","AHCTF1, BUB3, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NDC80, NEK7, NSL1, NUF2, NUP107, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5C, PPP2R5E, RANBP2, RPS27, SEH1L, SGO2, SKA2, SPC25, SPDL1, TAOK1, XPO1, ZWILCH"
"EPH-ephrin mediated repulsion of cells","4.250e-02","41","ACTB, AP2A1, AP2S1, APH1B, CLTA, CLTB, CLTCL1, DNM1, EFNA3, EFNA4, EFNA5, EFNB1, EPHA1, EPHA10, EPHA2, EPHB3, EPHB4, EPHB6, LYN, NCSTN, PSEN2, TIAM1, VAV2"
"ER-Phagosome pathway","1.118e-03","80","B2M, HMGB1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEC61G, SEM1, TLR1, TLR2, UBA52, UBC, VAMP3"
"Eukaryotic Translation Elongation","3.639e-21","89","EEF1A1, EEF1B2, EEF1D, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Eukaryotic Translation Initiation","8.999e-21","116","EIF1AX, EIF2B3, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Eukaryotic Translation Termination","1.703e-19","89","RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Extracellular matrix organization","3.367e-05","164","A2M, ACTN1, AGRN, APP, BMP4, BSG, CAPN1, CAPN14, CAPN5, CAPN8, CAPNS1, CD44, CDH1, CEACAM1, CEACAM6, COL17A1, COL4A2, COL4A4, COL6A1, COLGALT1, CTSB, CTSD, DAG1, DDR1, FURIN, ITGA2, ITGA3, ITGA5, ITGA6, ITGA7, ITGB2, ITGB4, ITGB5, ITGB7, JAM3, LAMA2, LAMA3, LAMA5, LAMB2, LAMB3, LAMC2, LOXL4, LTBP3, LTBP4, MFAP2, NCSTN, P3H1, P4HB, PHYKPL, PLEC, PTPRS, TGFB1, TIMP1, TNC"
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","3.900e-05","51","AURKA, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"FCERI mediated NF-kB activation","2.832e-03","73","MAP3K7, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA52, UBC, UBE2D1, UBE2D2, UBE2N"
"Fc epsilon receptor (FCERI) signaling","2.219e-02","116","CALM2, KRAS, MAP2K4, MAP3K7, MAPK9, NRAS, PIK3CA, PPP3CB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, SOS1, TEC, UBA52, UBC, UBE2D1, UBE2D2, UBE2N"
"Formation of TC-NER Pre-Incision Complex","5.943e-03","52","AQR, CCNH, CDK7, COPS2, COPS4, COPS5, COPS8, CUL4B, ERCC8, GTF2H5, HMGN1, ISY1, MNAT1, POLR2B, POLR2H, POLR2K, RBX1, RPS27A, TCEA1, UBA52, UBC, XPA"
"Formation of a pool of free 40S subunits","2.444e-22","98","EIF1AX, EIF3E, EIF3H, EIF3J, EIF3M, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Formation of the beta-catenin:TCF transactivating complex","2.674e-02","52","AXIN2, BCL9, BCL9L, CREBBP, EP300, H2AC20, H2AJ, H2AX, H2BC11, H2BC12, H2BC21, H2BC4, H2BC8, H2BU1, H3C6, H3C8, H4-16, HDAC1, MEN1, MYC, PYGO2, RUNX3, SMARCA4, TCF7, TCF7L2, TLE3, TLE4, TRRAP"
"Formation of the ternary complex, and subsequently, the 43S complex","5.523e-09","50","EIF1AX, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA"
"G1/S DNA Damage Checkpoints","8.288e-05","65","ATM, CCNA2, CCNE2, CHEK1, COP1, PHF20, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"G1/S Transition","2.036e-05","129","CCNA2, CCNE2, CDC7, CDK1, CDK7, CKS1B, DBF4, DHFR, FBXO5, GMNN, LIN9, MCM6, MNAT1, ORC3, ORC4, ORC5, PPP2CA, PPP2R1B, PRIM1, PRIM2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RB1, RPA3, RPS27A, SEM1, SKP1, SKP2, TFDP2, UBA52, UBC"
"G2/M Checkpoints","5.652e-05","142","ATM, ATR, BLM, BRCA1, BRCC3, CCNB2, CDC25C, CDC7, CDK1, CHEK1, DBF4, DNA2, MCM6, MRE11, NBN, ORC3, ORC4, ORC5, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBBP8, RFC3, RMI1, RPA3, RPS27A, SEM1, TOPBP1, UBA52, UBC, UBE2N, UBE2V2, YWHAQ"
"G2/M Transition","2.214e-05","183","AJUBA, AKAP9, ALMS1, AURKA, BORA, CCNA2, CCNB2, CDC25C, CDK1, CDK7, CENPF, CEP152, CEP290, CEP57, CEP70, CEP78, CETN2, CNTRL, DYNC1I2, HAUS1, HAUS3, HAUS6, HMMR, HSP90AA1, LIN9, MNAT1, NEDD1, NEK2, NME7, PCM1, PLK4, PPP1CB, PPP1R12A, PPP2CA, PPP2R1B, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC, XPO1"
"GLI3 is processed to GLI3R by the proteasome","6.880e-05","57","GLI3, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"GPCR downstream signalling","3.478e-02","261","ABR, ADCY6, ADCY7, ADM2, AHCYL1, APP, ARHGEF1, ARHGEF10L, ARHGEF11, ARHGEF16, ARHGEF18, ARHGEF2, ARHGEF3, ARHGEF35, ARHGEF5, ARHGEF7, CAMKK2, CCL5, DGKA, DGKZ, EGFR, FFAR4, GAL, GALR2, GNA11, GNA12, GNB2, GPER1, GPR176, GRK2, HCAR1, HEBP1, HRAS, HTR7, ITGA5, ITPR3, ITSN1, KALRN, KISS1, MAPK3, MAPK7, NGEF, NTSR1, OPN3, PAK1, PDE4A, PDE8A, PLCB3, PPP1CA, PPP1R1B, PPP2R5D, PRKACA, PSAP, PTHLH, QRFP, RGS11, RGS19, RGS3, RPS6KA1, RRH, RXFP4, S1PR2, SHC1, TIAM1, TIAM2, VAV2, VIPR1"
"GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","1.956e-04","52","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RBX1, RPS27A, SEM1, SKP1, UBA52, UBC"
"GTP hydrolysis and joining of the 60S ribosomal subunit","4.969e-21","109","EIF1AX, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","4.074e-02","31","ANXA2, CAPZA1, CDC42, GSTO1, HNRNPDL, HSPA9, MTAP, PAK2, PPIA, PSME2, RALA, RAP1B, RPLP0, SERPINB2, SNRPA1, SOD1, SOD2, TCP1"
"HDMs demethylate histones","1.150e-02","28","H3C6, H3C8, H4-16, JMJD6, KDM1B, KDM2A, KDM3B, KDM4B, KDM4C, KDM4D, KDM5B, KDM5C, KDM5D, KDM6B, PHF2, PHF8"
"HDR through Homologous Recombination (HRR)","6.442e-04","66","ATM, ATR, BLM, BRCA1, BRCA2, CHEK1, DNA2, EME1, GEN1, MRE11, NBN, POLH, RAD1, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC2, RFC3, RMI1, RPA3, RPS27A, SEM1, TOPBP1, UBA52, UBC, WRN, XRCC2"
"HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","4.709e-02","106","ATM, ATR, BLM, BRCA1, BRCA2, BRCC3, CCNA2, CHEK1, DNA2, GEN1, MRE11, NBN, POLH, PPP4R2, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC3, RMI1, RPA3, RPS27A, SEM1, SUMO2, TOPBP1, UBA52, UBC, UBE2N, UBE2V2"
"HDR through Single Strand Annealing (SSA)","1.518e-02","37","ATM, ATR, BLM, BRCA1, DNA2, ERCC4, MRE11, NBN, RAD1, RBBP8, RFC2, RFC3, RMI1, RPA3, TOPBP1, WRN"
"HIV Infection","1.156e-03","212","AP1G1, AP1S2, AP1S3, B2M, CCNH, CCNT1, CCNT2, CDK7, CHMP2B, CHMP5, CUL5, ELOC, GTF2A1, GTF2A2, GTF2B, GTF2E2, GTF2F2, GTF2H5, MNAT1, NDC1, NPM1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, POLR2B, POLR2H, POLR2K, PPIA, PSIP1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RAN, RANBP2, RBX1, RNGTT, RNMT, RPS27A, SEH1L, SEM1, SKP1, TAF2, TAF4B, TAF7, TAF9, TAF9B, TCEA1, TPR, UBA52, UBC, VPS37A, VTA1, XPO1, XRCC4, XRCC5"
"Hedgehog 'off' state","4.270e-04","99","CUL1, DYNC2H1, GLI1, GLI3, IFT52, IFT57, IFT88, INTU, KIF3A, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPGRIP1L, RPS27A, SEM1, SKP1, TTC21B, UBA52, UBC, WDR35"
"Hedgehog 'on' state","1.297e-03","77","CDC73, DZIP1, EFCAB7, GLI1, GLI3, ITCH, KIF3A, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SHH, SMURF2, SPOPL, UBA52, UBC"
"Hedgehog ligand biogenesis","3.832e-03","60","DISP2, ERLEC1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SHH, UBA52, UBC"
"Hh mutants abrogate ligand secretion","1.292e-03","56","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Hh mutants are degraded by ERAD","6.076e-04","54","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Homologous DNA Pairing and Strand Exchange","1.230e-04","43","ATM, ATR, BLM, BRCA1, BRCA2, CHEK1, DNA2, MRE11, NBN, RAD1, RAD51AP1, RAD51B, RAD51C, RBBP8, RFC2, RFC3, RMI1, RPA3, SEM1, TOPBP1, WRN, XRCC2"
"Host Interactions of HIV factors","1.235e-04","120","AP1S2, AP1S3, B2M, CCNT1, CUL5, ELOC, NDC1, NPM1, NUP107, NUP155, NUP35, NUP54, NUP58, PPIA, PSIP1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RAN, RANBP2, RBX1, RPS27A, SEH1L, SEM1, SKP1, TPR, UBA52, UBC, XPO1"
"IKK complex recruitment mediated by RIP1","1.712e-02","21","BIRC2, BIRC3, RPS27A, UBA52, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2N"
"Impaired BRCA2 binding to PALB2","3.028e-05","24","ATM, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RAD51AP1, RAD51B, RAD51C, RBBP8, RMI1"
"Impaired BRCA2 binding to RAD51","8.325e-05","35","ATM, ATR, BLM, BRCA1, BRCA2, DNA2, MRE11, NBN, RBBP8, RFC3, RMI1, RPA3, SEM1, TOPBP1"
"Influenza Infection","3.340e-17","153","CANX, DNAJC3, EIF2AK2, GTF2F2, HSP90AA1, IPO5, KPNA5, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, POLR2B, POLR2H, POLR2K, RAN, RANBP2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL39L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, SEH1L, TPR, UBA52, XPO1"
"Influenza Viral RNA Transcription and Replication","1.703e-19","132","DNAJC3, GTF2F2, HSP90AA1, IPO5, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, POLR2H, POLR2K, RANBP2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SEH1L, TPR, UBA52"
"Integrin cell surface interactions","1.045e-02","42","AGRN, BSG, CD44, CDH1, COL4A2, COL4A4, COL4A5, COL6A1, COL9A3, FN1, HSPG2, ITGA1, ITGA2, ITGA3, ITGA5, ITGA6, ITGA7, ITGB2, ITGB5, ITGB7, JAM3, TNC"
"Interferon Signaling","3.390e-02","160","ABCE1, ARIH1, B2M, CAMK2D, EIF2AK2, EIF4A2, EIF4E, EIF4G2, GBP1, GBP3, HERC5, HLA-B, IFI27, IFI6, IFIT1, IFIT2, IFIT3, IFIT5, IFITM3, IFNAR1, IFNGR1, JAK2, KPNA5, MX1, MX2, NDC1, NEDD4, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, OAS2, PTPN11, PTPN2, RANBP2, RPS27A, RSAD2, SEH1L, SP100, STAT1, SUMO1, TPR, TRIM14, TRIM17, TRIM21, UBA52, UBC, UBE2E1, UBE2N"
"Interleukin-1 family signaling","1.187e-02","132","CUL1, HMGB1, IKBIP, IL18, IRAK3, IRAK4, MAP2K4, MAP2K6, MAP3K7, MAPK8, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTPN11, PTPN2, PTPN4, RBX1, RIPK2, RPS27A, SEM1, SKP1, TBK1, UBA52, UBC, UBE2N, USP14"
"Interleukin-1 signaling","3.285e-03","107","HMGB1, IKBIP, IRAK3, IRAK4, MAP2K4, MAP2K6, MAP3K7, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RIPK2, RPS27A, SEM1, SKP1, UBA52, UBC, UBE2N, USP14"
