"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"GLI3 is processed to GLI3R by the proteasome","4.991e-06","49","Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.685e-05","50","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Autodegradation of the E3 ubiquitin ligase COP1","8.729e-05","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.501e-06","46","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"CLEC7A (Dectin-1) signaling","4.854e-06","81","Calm1, Calm2, Cul1, Map3k14, Nfkb2, Nfkbia, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rela, Src, Tab2, Ubc, Ube2d2a, Ube2m, Ube2v1","3.551e-05","83","Calm1, Calm2, Map3k14, Nfkb2, Nfkbia, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Src, Tab2, Ubc, Ube2m, Ube2v1"
"Transport to the Golgi and subsequent modification","3.929e-06","141","Arcn1, Areg, Arf1, Arf3, Arf4, Arf5, B4galt1, B4galt5, Capzb, Cd55, Cog2, Copa, Copb1, Cope, Copg1, Copg2, Copz1, Ctsz, Dctn2, Dctn3, Dctn5, Dctn6, Dync1h1, Dync1i2, Dync1li2, Dynll1, Dynll2, Golga2, Gosr2, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Man2a1, Mgat1, Mgat4b, Mgat5, Mia3, Napg, Ppp6c, Ppp6r1, Rab1a, Rab1b, Sar1b, Sec24b, Sec24d, St8sia6, Tbc1d20, Tfg, Tgfa, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc3, Trappc4, Trappc6a, Tuba1c, Tuba4a, Tubb2a, Tubb4b","7.216e-05","151","Ankrd28, Arcn1, Areg, Arf1, Arf3, Arf4, Arf5, B4galt1, B4galt5, Capzb, Cd55, Cog2, Copa, Copb1, Cope, Copg1, Copz1, Ctsz, Dctn2, Dctn3, Dctn5, Dctn6, Dync1i2, Dynll1, Dynll2, Gbf1, Golga2, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Man2a1, Mgat1, Mgat2, Mgat4b, Mia3, Napg, Ppp6c, Ppp6r1, Rab1a, Rab1b, Sar1b, Sec24b, Sec24d, Tbc1d20, Tfg, Tgfa, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc4, Trappc6a, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
"Metabolism of polyamines","1.619e-04","54","Nqo1, Oaz1, Odc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1","4.064e-06","54","Oaz1, Odc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1"
"Ubiquitin-dependent degradation of Cyclin D","5.023e-05","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","9.942e-06","45","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"ER to Golgi Anterograde Transport","1.450e-05","121","Arcn1, Areg, Arf1, Arf3, Arf4, Arf5, Capzb, Cd55, Cog2, Copa, Copb1, Cope, Copg1, Copg2, Copz1, Ctsz, Dctn2, Dctn3, Dctn5, Dctn6, Dync1h1, Dync1i2, Dync1li2, Dynll1, Dynll2, Golga2, Gosr2, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Mia3, Napg, Ppp6c, Ppp6r1, Rab1a, Rab1b, Sar1b, Sec24b, Sec24d, Tbc1d20, Tfg, Tgfa, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc3, Trappc4, Trappc6a, Tuba1c, Tuba4a, Tubb2a, Tubb4b","3.513e-05","129","Ankrd28, Arcn1, Areg, Arf1, Arf3, Arf4, Arf5, Capzb, Cd55, Cog2, Copa, Copb1, Cope, Copg1, Copz1, Ctsz, Dctn2, Dctn3, Dctn5, Dctn6, Dync1i2, Dynll1, Dynll2, Gbf1, Golga2, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Mia3, Napg, Ppp6c, Ppp6r1, Rab1a, Rab1b, Sar1b, Sec24b, Sec24d, Tbc1d20, Tfg, Tgfa, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc4, Trappc6a, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
"TP53 Regulates Metabolic Genes","5.647e-05","64","Akt1, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, G6pdx, Gpx2, Gsr, Lamtor2, Lamtor3, Prdx1, Prdx2, Prdx5, Prkag1, Rheb, Rraga, Rragc, Sfn, Surf1, Tigar, Txn1, Ywhab, Ywhah, Ywhaz","1.561e-05","65","Akt1, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, G6pdx, Gpx2, Gsr, Lamtor3, Prdx1, Prdx2, Prdx5, Rheb, Rraga, Rragc, Sco2, Sfn, Tigar, Txn1, Ywhab, Ywhah, Ywhaz"
"FCERI mediated NF-kB activation","6.892e-06","65","Cul1, Nfkbia, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rela, Tab2, Ubc, Ube2d2a, Ube2v1","7.887e-05","69","Nfkbia, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tab2, Ubc, Ube2v1"
"Degradation of beta-catenin by the destruction complex","1.364e-04","69","Ctbp2, Cul1, Ppp2ca, Ppp2cb, Ppp2r1b, Ppp2r5b, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.446e-05","69","Ctbp2, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Stabilization of p53","2.176e-04","49","Mdm2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd12, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","8.138e-06","50","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"SCF(Skp2)-mediated degradation of p27/p21","7.352e-05","51","Cdk2, Cdkn1a, Cdkn1b, Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","1.682e-05","53","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Regulation of mRNA stability by proteins that bind AU-rich elements","2.347e-04","75","Akt1, Eif4g1, Hspa1b, Hspa8, Mapkapk2, Pabpc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Set, Tnpo1, Ubc, Ywhab, Ywhaz","8.138e-06","77","Akt1, Anp32a, Eif4g1, Hspa1b, Hspa8, Mapkapk2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Set, Tnpo1, Ubc, Ywhab, Ywhaz"
"PTEN Regulation","3.649e-05","101","Akt1, Chd4, Csnk2a1, Csnk2b, Gatad2a, Lamtor2, Lamtor3, Mta2, Phc1, Phc2, Pml, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rheb, Rraga, Rragc, Tnks, Ubc","3.551e-05","102","Akt1, Cbx2, Chd4, Csnk2a1, Csnk2b, Gatad2a, Hdac2, Lamtor3, Nedd4, Phc1, Phc2, Pml, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rheb, Rraga, Rragc, Tnks, Ubc"
"Regulation of RUNX2 expression and activity","3.915e-05","47","Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","4.551e-05","47","Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Dependent G1 DNA Damage Response","5.882e-04","55","Cdk2, Cdkn1a, Cdkn1b, Mdm2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","5.834e-06","56","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"p53-Dependent G1/S DNA damage checkpoint","5.882e-04","55","Cdk2, Cdkn1a, Cdkn1b, Mdm2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","5.834e-06","56","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"UCH proteinases","8.963e-04","70","Actg1, Asxl2, Ino80c, Mbd6, Nedd8, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Uchl3","2.608e-06","72","Actg1, Asxl2, Ino80c, Mbd6, Nedd8, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Uchl3, Yy1"
"Cellular response to hypoxia","2.347e-04","64","Egln2, Egln3, Elob, Epas1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2d2a, Wtip","3.513e-05","64","Egln2, Egln3, Elob, Epas1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wtip"
"G1/S DNA Damage Checkpoints","9.452e-04","56","Cdk2, Cdkn1a, Cdkn1b, Mdm2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","7.297e-06","58","Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Signaling by the B Cell Receptor (BCR)","2.211e-04","85","Calm1, Calm2, Cul1, Fkbp1a, Grb2, Itpr3, Kras, Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sh3kbp1, Stim1, Ubc","1.482e-04","92","Calm1, Calm2, Fkbp1a, Grb2, Itpr3, Kras, Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Sh3kbp1, Stim1, Ubc"
"TCF dependent signaling in response to WNT","5.423e-04","126","Akt1, Ash2l, Bcl9l, Cby1, Csnk1e, Csnk2a1, Csnk2b, Dvl2, Dvl3, Fzd5, Lgr4, Lrp5, Men1, Pip5k1b, Ppp2ca, Ppp2cb, Ppp2r1b, Ppp2r5b, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc, Ywhaz","7.010e-05","130","Akt1, Ash2l, Bcl9l, Cby1, Csnk2a1, Csnk2b, Dvl2, Dvl3, Fzd1, Leo1, Lrp5, Men1, Pip5k1b, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tnks, Ubc, Ywhaz"
"Cyclin E associated events during G1/S transition ","1.250e-03","61","Akt1, Cdk2, Cdkn1a, Cdkn1b, Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wee1","3.274e-05","63","Akt1, Ccna2, Cdk2, Cdkn1a, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wee1"
"COPI-mediated anterograde transport","5.633e-04","78","Arcn1, Arf1, Arf3, Arf4, Arf5, Capzb, Cd55, Cog2, Copa, Copb1, Cope, Copg1, Copg2, Copz1, Dctn2, Dctn3, Dctn5, Dctn6, Dync1h1, Dync1i2, Dync1li2, Dynll1, Dynll2, Golga2, Gosr2, Kdelr1, Kdelr2, Napg, Rab1a, Rab1b, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Tuba1c, Tuba4a, Tubb2a, Tubb4b","1.507e-04","82","Arcn1, Arf1, Arf3, Arf4, Arf5, Capzb, Cd55, Copa, Copb1, Cope, Copg1, Copz1, Dctn2, Dctn3, Dctn5, Dctn6, Dync1i2, Dynll1, Dynll2, Golga2, Kdelr1, Kdelr2, Napg, Rab1a, Rab1b, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
"Autodegradation of Cdh1 by Cdh1:APC/C","3.707e-04","57","Anapc2, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","2.727e-04","59","Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Downstream TCR signaling","5.522e-04","72","Cul1, Nfkbia, Pik3cb, Pik3r2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rela, Tab2, Ubc, Ube2d2a, Ube2v1","1.786e-04","75","Nfkbia, Pik3cb, Pik3r2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Tab2, Ubc, Ube2v1"
"Cyclin A:Cdk2-associated events at S phase entry","8.542e-04","63","Akt1, Cdk2, Cdkn1a, Cdkn1b, Cul1, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wee1","8.072e-05","65","Akt1, Ccna2, Cdk2, Cdkn1a, Fzr1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Wee1"
"C-type lectin receptors (CLRs)","4.358e-04","93","Calm1, Calm2, Cul1, Kras, Map3k14, Nfkb2, Nfkbia, Pak2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Raf1, Src, Tab2, Ubc, Ube2d2a, Ube2m, Ube2v1","3.519e-04","96","Calm1, Calm2, Kras, Map3k14, Nfkb2, Nfkbia, Pak2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Raf1, Src, Tab2, Ubc, Ube2m, Ube2v1"
"Orc1 removal from chromatin","1.842e-03","58","Cdk2, Cul1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","7.887e-05","61","Ccna2, Cdk2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Regulation of RAS by GAPs","4.758e-03","60","Kras, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rasa1, Ubc","2.006e-05","61","Kbtbd7, Kras, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rasa1, Ubc"
"Transcriptional regulation by RUNX3","3.264e-03","70","Mdm2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd12, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rbpj, Smad3, Smurf1, Snw1, Src, Tead3, Ubc","6.786e-05","71","Maml1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rbpj, Smurf1, Snw1, Src, Tead3, Ubc"
"APC/C:Cdc20 mediated degradation of Securin","2.218e-03","59","Anapc2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc","2.719e-04","61","Anapc2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Pttg1, Ubc"
"Citric acid cycle (TCA cycle)","1.219e-03","20","Dld, Dlst, Fh1, Idh2, Idh3a, Idh3g, Mdh2, Me2, Ogdh, Sdha, Sdhb, Sdhc, Sdhd, Suclg1, Suclg2","4.058e-04","20","Dld, Dlst, Fh1, Idh2, Idh3a, Idh3b, Idh3g, Mdh2, Me2, Ogdh, Sdha, Sdhb, Sdhc, Sdhd, Suclg1, Suclg2"
"EPH-Ephrin signaling","6.479e-04","53","Actg1, Actr2, Actr3, Aph1a, Arpc1b, Arpc5, Cdc42, Efna1, Efnb1, Epha1, Epha2, Ephb3, Git1, Nck2, Ncstn, Pak2, Psenen, Rac1, Rasa1, Rhoa, Rock2, Src","5.905e-04","55","Actg1, Actr2, Actr3, Aph1a, Arpc1a, Arpc1b, Arpc2, Arpc5, Cdc42, Efna1, Efna5, Efnb1, Efnb2, Epha1, Epha2, Ephb3, Git1, Nck2, Ncstn, Pak2, Psen2, Psenen, Rac1, Rasa1, Rhoa, Rock2, Sdcbp, Src"
