"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"ER to Golgi Anterograde Transport","1.468e-06","127","Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, Bet1l, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb1, Copb2, Cope, Csnk1d, Ctsc, Ctsz, Dctn3, Dync1li1, Dync1li2, Dynll2, Golga2, Kdelr2, Lman1, Lman2, Mcfd2, Mia3, Napa, Preb, Rab1a, Rab1b, Sec16a, Sec23a, Sec24b, Sptbn2, Tfg, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc6b, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ykt6","4.518e-06","129","Actr10, Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, Bet1, Bet1l, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb2, Cope, Copz1, Csnk1d, Ctsc, Ctsz, Dctn3, Dctn6, Dync1li2, Dynll1, Dynll2, Golga2, Gorasp1, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Mcfd2, Mia3, Napa, Rab1a, Rab1b, Sec16a, Sec23a, Sec24b, Sptbn1, Sptbn2, Tfg, Tgfa, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ykt6"
"Dectin-1 mediated noncanonical NF-kB signaling","6.497e-06","50","Nfkb2, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Relb, Ubc, Ube2m","2.103e-06","50","Nfkb2, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Relb, Ubc, Ube2m"
"NIK-->noncanonical NF-kB signaling","6.497e-06","50","Nfkb2, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Relb, Ubc, Ube2m","2.103e-06","50","Nfkb2, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Relb, Ubc, Ube2m"
"CLEC7A (Dectin-1) signaling","1.892e-06","83","Calm1, Calm2, Calm3, Cdc34, Nfkb1, Nfkb2, Pdpk1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rela, Relb, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2m, Ube2n","5.421e-06","83","Calm1, Calm2, Calm3, Cdc34, Nfkb1, Nfkb2, Pdpk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rela, Relb, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2m, Ube2n"
"Assembly of the pre-replicative complex","1.902e-05","77","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Cdc26, Cdc27, Fzr1, Gmnn, Kpnb1, Mcm6, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","3.242e-06","77","Anapc1, Anapc11, Anapc16, Anapc5, Anapc7, Cdc26, Cdc27, Fzr1, Gmnn, Kpna1, Kpna6, Kpnb1, Mcm6, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd2, Psmd3, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Metabolism of polyamines","3.922e-05","53","Oaz1, Odc1, Paox, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Sms","1.907e-06","53","Oaz1, Odc1, Paox, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Sms"
"Ubiquitin-dependent degradation of Cyclin D","2.721e-05","45","Cdk4, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc","2.977e-06","45","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"MAPK6/MAPK4 signaling","6.497e-06","64","Ccnd3, Cdc42ep2, Foxo3, Mapk6, Pak2, Prkaca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Ubc, Xpo1","8.991e-06","65","Ccnd3, Cdc42ep2, Cdc42ep3, Foxo3, Mapk6, Pak2, Prkaca, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rac1, Ubc, Xpo1"
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","6.585e-06","60","Cul2, Egln1, Egln2, Elob, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc, Ube2d1, Ube2d2a","8.135e-06","60","Cul2, Egln1, Egln2, Elob, Hif1a, Limd1, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2d1, Ube2d2a, Ube2d3"
"Degradation of beta-catenin by the destruction complex","2.704e-05","69","Axin1, Ctnnb1, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","4.760e-06","70","Axin1, Ctnnb1, Frat2, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Tle3, Ubc"
"Fc epsilon receptor (FCERI) signaling","6.497e-06","103","Calm1, Calm2, Calm3, Cdc34, Fos, Grb2, Hras, Jun, Nfkb1, Pak2, Pdpk1, Pik3ca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Rela, Shc1, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n","9.673e-06","106","Calm1, Calm2, Calm3, Cdc34, Fos, Grb2, Hras, Kras, Nfkb1, Pak2, Pdpk1, Pik3ca, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rac1, Rela, Shc1, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n"
"GLI3 is processed to GLI3R by the proteasome","2.721e-05","49","Prkaca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","4.760e-06","49","Prkaca, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"RHO GTPases activate IQGAPs","2.071e-05","25","Actg1, Calm1, Calm2, Calm3, Ctnna1, Ctnnb1, Iqgap3, Men1, Rac1, Tuba1a, Tuba1c, Tubb2a, Tubb2b, Tubb4b, Tubb6","7.786e-06","26","Actg1, Calm1, Calm2, Calm3, Clip1, Ctnna1, Ctnnb1, Iqgap1, Iqgap3, Men1, Rac1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6"
"Degradation of AXIN","3.556e-05","49","Axin1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Tnks, Ubc","4.760e-06","49","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Tnks, Ubc"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","3.556e-05","46","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","4.760e-06","46","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"p53-Independent DNA Damage Response","3.556e-05","46","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","4.760e-06","46","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"p53-Independent G1/S DNA damage checkpoint","3.556e-05","46","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","4.760e-06","46","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Downstream signaling events of B Cell Receptor (BCR)","3.992e-05","68","Calm1, Calm2, Calm3, Hras, Nfkb1, Nfkbib, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rela, Ubc","5.421e-06","68","Calm1, Calm2, Calm3, Hras, Kras, Nfkb1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Rela, Ubc"
"Transcriptional regulation by RUNX3","1.567e-05","71","Ctnnb1, Maml1, Notch1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Smad3, Smurf1, Tead3, Ubc","1.124e-05","72","Ctnnb1, Maml1, Mamld1, Notch1, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Smad3, Smurf1, Src, Tead3, Tead4, Tgfb1, Trp53, Ubc"
"UCH proteinases","1.209e-04","72","Actg1, Adrm1, Foxk1, Ino80c, Ino80d, Nedd8, Ogt, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Tfpt, Ubc, Yy1","1.907e-06","72","Actg1, Adrm1, Ino80c, Ino80d, Nedd8, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc, Yy1"
"Signaling by NTRKs","4.803e-05","68","Ap2a1, Ap2m1, Ap2s1, Chd4, Cltc, Creb1, Dusp6, Dusp7, Frs2, Furin, Grb2, Hras, Irs2, Kidins220, Kras, Map2k2, Ngf, Ntf5, Pcsk6, Pik3ca, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Rac1, Ralgds, Rhoa, Sgk1, Shc1, Srf, Ywhab","5.421e-06","68","Ap2a1, Ap2m1, Ap2s1, Bdnf, Chd4, Cltc, Crk, Dusp6, Dusp7, Frs2, Furin, Grb2, Hras, Irs1, Irs2, Kras, Map2k1, Map2k2, Mapk3, Mapkapk2, Ngf, Ntf5, Pcsk5, Pcsk6, Pik3ca, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Rac1, Ralgds, Rap1a, Rhoa, Sgk1, Shc1, Sos1, Src, Srf, Ywhab"
"Ub-specific processing proteases","1.421e-05","148","Adrm1, Axin1, Becn1, Ccna2, Cdc20, Cftr, Fkbp8, Foxo4, Hgs, Il33, Mat2b, Mul1, Otub1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rce1, Siah2, Smad3, Taf10, Tnks, Tomm20, Ubc, Ufd1, Usp10, Usp14, Usp15, Usp16, Usp18, Usp22, Usp24, Usp25, Usp3, Usp33, Usp47, Usp48, Usp5, Usp7, Vdac1, Vdac2","1.294e-05","149","Adrb2, Adrm1, Axin1, Becn1, Ccna2, Cdc20, Fkbp8, Foxo4, Gata3, Hgs, Hif1a, Ifih1, Il33, Mat2b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rce1, Siah2, Smad3, Smad7, Taf10, Tnks, Tomm20, Trp53, Ubc, Usp10, Usp14, Usp15, Usp18, Usp22, Usp24, Usp25, Usp47, Vdac1, Vdac2"
"Hedgehog ligand biogenesis","3.005e-05","54","Derl2, P4hb, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Sel1l, Ubc, Vcp","1.057e-05","56","Derl2, P4hb, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Sel1l, Ubc, Vcp"
"Cellular response to hypoxia","7.076e-06","64","Cul2, Egln1, Egln2, Elob, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc, Ube2d1, Ube2d2a","1.733e-05","64","Cul2, Egln1, Egln2, Elob, Hif1a, Limd1, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2d1, Ube2d2a, Ube2d3"
"Regulation of RUNX3 expression and activity","3.896e-05","49","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Smurf1, Ubc","9.673e-06","49","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Smurf1, Ubc"
"MHC class II antigen presentation","1.693e-05","91","Ap1b1, Ap1g1, Ap2a1, Ap2m1, Ap2s1, Arf1, Canx, Capzb, Cd74, Cltc, Ctsb, Ctsc, Ctsd, Ctse, Ctsh, Ctsl, Ctss, Dctn3, Dync1li2, Ifi30, Kif20a, Kif2c, Lgmn, Rab7, Racgap1, Sec23a, Sec24b, Sptbn2, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6","1.495e-05","94","Actr10, Ap1b1, Ap1g1, Ap2a1, Ap2m1, Ap2s1, Arf1, Canx, Capzb, Cd74, Cltc, Ctsb, Ctsc, Ctsd, Ctse, Ctsh, Ctsl, Ctss, Dctn3, Dctn6, Dync1li2, Dynll2, Ifi30, Kif20a, Kif22, Kif2c, Klc3, Lgmn, Rab7, Racgap1, Sec23a, Sec24b, Sptbn2, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6"
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","2.721e-05","47","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","1.134e-05","47","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"FCERI mediated NF-kB activation","3.556e-05","67","Cdc34, Nfkb1, Pdpk1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rela, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n","1.119e-05","67","Cdc34, Nfkb1, Pdpk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rela, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n"
"Degradation of DVL","5.219e-05","50","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","8.991e-06","50","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Regulation of ornithine decarboxylase (ODC)","5.436e-05","47","Azin1, Nqo1, Oaz1, Odc1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Psme4","8.277e-06","47","Oaz1, Odc1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3"
"Switching of origins to a post-replicative state","5.865e-05","83","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc26, Cdc27, Cdk2, Fzr1, Gmnn, Mcm6, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","7.786e-06","83","Ccna2, Cdc26, Cdc27, Fzr1, Mcm6, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Autodegradation of the E3 ubiquitin ligase COP1","7.713e-05","46","Cop1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Psme4, Trp53, Ubc","7.786e-06","46","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Degradation of GLI1 by the proteasome","1.004e-04","49","Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Ubc","5.421e-06","49","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Regulation of RUNX2 expression and activity","5.073e-05","47","Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Runx2, Ubc","1.043e-05","47","Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc"
"Beta-catenin independent WNT signaling","2.012e-04","104","Ap2a1, Ap2m1, Ap2s1, Calm1, Calm2, Calm3, Cltb, Cltc, Ctnnb1, Daam1, Fzd7, Gnb1, Gnb2, Pfn1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rac1, Rac3, Rhoa, Smurf1, Ubc","3.141e-06","109","Ap2m1, Calm1, Calm2, Calm3, Cltb, Cltc, Ctnnb1, Daam1, Fzd1, Fzd4, Fzd7, Gnb1, Gnb2, Gng10, Kras, Pfn1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rac1, Rac3, Rhoa, Smurf1, Ubc"
"Downstream TCR signaling","1.507e-05","70","Cdc34, Nfkb1, Pdpk1, Pik3ca, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rela, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n","3.040e-05","73","Cdc34, Nfkb1, Pdpk1, Pik3ca, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rela, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n"
