"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Transcriptional regulation by RUNX1","1.776e-02","113","Actl6a, Arid1b, Ccnd1, Ccnd2, Cdk6, Csnk2b, Ep300, H3f3a, H3f3b, Hdac1, Hipk2, Kat2b, Kmt2b, Kmt2e, Pcgf5, Phc2, Pml, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Rbbp5, Scmh1, Setd1a, Smarca2, Smarca4, Smarcb1, Smarcc1, Smarcc2, Smarce1, Tcf12, Tcf3, Yap1, Zfpm1","1.800e-02","116","Actl6a, Arid1b, Cbfb, Ccnd1, Ccnd2, Ccnd3, Ep300, H3f3a, H3f3b, Hdac1, Hipk2, Kmt2b, Kmt2e, Lmo1, Pcgf5, Phc2, Pml, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb5, Psmb6, Psmb9, Psmc5, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd5, Psmd9, Psme2b, Psme3, Rbbp5, Scmh1, Setd1a, Smarca2, Smarca4, Smarcb1, Smarcc1, Smarcc2, Smarcd2, Smarce1, Yap1, Zfpm1"
"Autodegradation of Cdh1 by Cdh1:APC/C","1.177e-02","58","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1","2.377e-02","58","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Fzr1, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Nucleotide Excision Repair","1.177e-02","94","Actg1, Actl6a, Actr8, Aqr, Cetn2, Ddb2, Ep300, Ercc2, Ercc3, Ercc4, Ercc6, Ercc8, Gtf2h4, Ino80, Ino80b, Ino80d, Lig1, Mcrs1, Nfrkb, Pole4, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppie, Rad23a, Rbx1, Rfc4, Rfc5, Sumo1, Sumo2, Tcea1, Ube2n, Usp7, Xab2, Xpc, Yy1","2.377e-02","95","Actg1, Actl6a, Aqr, Cetn2, Cul4a, Ddb2, Ep300, Ercc2, Ercc3, Ercc4, Gtf2h4, Ino80, Ino80b, Ino80d, Lig1, Mcrs1, Pole4, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppie, Rad23a, Rbx1, Rfc4, Rfc5, Sumo2, Tcea1, Ube2n, Usp7, Xab2, Xpc, Yy1"
"UCH proteinases","1.177e-02","70","Actg1, Actl6a, Actr8, Adrm1, Bap1, Foxk1, Ino80, Ino80b, Ino80d, Mbd6, Mcrs1, Nedd8, Nfrkb, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Yy1","2.517e-02","70","Actg1, Actl6a, Adrm1, Bap1, Foxk1, Ino80, Ino80b, Ino80d, Kdm1b, Mcrs1, Nedd8, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Yy1"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","2.643e-02","23","Eif1ax, Eif2s1, Eif3a, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1","1.800e-02","24","Eif1ax, Eif2s1, Eif3b, Eif3c, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1"
"Antiviral mechanism by IFN-stimulated genes","3.269e-02","29","Ddx58, Eif2ak2, Eif4a1, Eif4a2, Eif4e, Eif4e2, Eif4g1, Eif4g3, Isg15, Mapk3, Nedd4, Uba7, Ube2e1, Ube2l6, Ube2n, Usp18","1.800e-02","30","Ddx58, Eif2ak2, Eif4a1, Eif4a2, Eif4e, Eif4e2, Eif4g1, Isg15, Mapk3, Ube2e1, Ube2n, Usp18"
"G alpha (i) signalling events","1.177e-02","93","Adcy7, Adcy9, Adra2a, C5ar1, Ccl25, Ccr5, Cxcl13, Cxcl16, Cxcr6, Gabbr1, Gng4, Gpr37l1, Gpsm1, Pde4c, Penk, Plcb2, Plcb4, Ppp1r1b, Prkar2b, Prkcg, Pyy, Rgs12, Rgs13, Rgs17, Rgs19, Rgs7","3.057e-02","124","Adcy7, Adcy9, Adora1, Adra2a, Apln, App, C3ar1, C5ar1, Ccl11, Ccl25, Ccl4, Ccl6, Ccr1, Ccr5, Cdk5, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Drd3, Gabbr1, Gal, Gnai2, Gnaq, Gnat2, Gng12, Gng2, Gng4, Gpr37l1, Gpsm1, Grk2, Hebp1, Htr1d, Npb, Npy, Npy1r, Pde4c, Pde4d, Penk, Plcb1, Plcb2, Plcb4, Pmch, Ppp1r1b, Prkaca, Prkar2b, Prkcd, Prkcg, Pyy, Rgs1, Rgs12, Rgs13, Rgs16, Rgs17, Rgs19, Rgs7, Rgs9, S1pr3, Src, Sst, Sstr3, Tas2r118"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","1.177e-02","63","Anapc11, Anapc2, Anapc5, Bub1b, Cdc23, Cdc27, Cdk1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1","4.139e-02","65","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Cdk1, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A","1.177e-02","62","Anapc11, Anapc2, Anapc5, Bub1b, Cdc23, Cdc27, Cdk1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1","4.139e-02","64","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Cdk1, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Estrogen-dependent gene expression","1.661e-02","41","Carm1, Cdk9, Ep300, Foxa1, Gtf2a2, Gtf2f1, H3f3a, H3f3b, Kat2b, Kat5, Ncoa2, Nrip1, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Tbp, Tle3, Usf1","3.000e-02","42","Carm1, Cbfb, Cdk9, Ep300, Fkbp4, Foxa1, Gtf2a2, Gtf2f1, H3f3a, H3f3b, Kat5, Med1, Nrip1, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Sp1, Tbp, Tle3, Usf1"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC","3.711e-02","25","B2m, Erap1, H2-K1, H2-Q6, H2-Q7, Hspa5, Pdia3, Sec24a, Tap1, Tap2, Tapbp","1.845e-02","25","B2m, Erap1, H2-K1, H2-Q6, H2-Q7, Hspa5, Pdia3, Sec24a, Sec24c, Tap1, Tapbp"
"Asparagine N-linked glycosylation","3.550e-02","199","Actr10, Alg1, Alg9, Arf1, Cnih1, Cog4, Cog6, Copa, Cope, Copg1, Dolk, Dolpp1, Dpagt1, Dync1h1, Gfpt1, Glb1, Gmds, Kdelr1, Kdelr2, Lman1, Lman2, Man1a2, Mgat5, Mvd, Nagk, Napg, Nudt14, Nus1, Pdia3, Pgm3, Ppp6c, Rab1b, Sec24a, Slc35c1, St3gal4, Tfg, Tmed10, Tmed3, Tmed7, Trappc2l, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Uap1, Vcp","2.197e-02","217","Actr10, Alg9, Amfr, Arf1, Arf5, B4galt1, Cnih1, Cog6, Copa, Copb1, Cope, Copg1, Dctn1, Dolk, Dolpp1, Dpagt1, Dync1h1, Dynll1, Gfpt1, Glb1, Gmds, Kdelr1, Kdelr2, Lman1, Lman2, Mcfd2, Mgat5, Mvd, Nagk, Napg, Nudt14, Nus1, Pdia3, Pgm3, Ppp6c, Rab1b, Sec24a, Sec24c, Slc35c1, St3gal4, Tfg, Tmed10, Tmed3, Tmed7, Trappc2l, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Uap1, Vcp"
"Cap-dependent Translation Initiation","3.592e-02","30","Eif1ax, Eif2b1, Eif2b4, Eif2s1, Eif3a, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b","2.168e-02","31","Eif1ax, Eif2b4, Eif2s1, Eif3b, Eif3c, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b"
"Eukaryotic Translation Initiation","3.592e-02","30","Eif1ax, Eif2b1, Eif2b4, Eif2s1, Eif3a, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b","2.168e-02","31","Eif1ax, Eif2b4, Eif2s1, Eif3b, Eif3c, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b"
"Separation of Sister Chromatids","4.100e-02","145","Anapc11, Anapc2, Anapc5, Aurkb, Bub1b, Cdc23, Cdc27, Cdca8, Cenpf, Cenpk, Cenpq, Ckap5, Dync1h1, Dynll1, Hdac8, Kif18a, Mad1l1, Mis12, Nudc, Ppp2r5b, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Rangap1, Rcc2, Ska2, Smc1a, Spc24, Spdl1, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Ube2d1, Ube2e1, Xpo1","1.866e-02","159","Ahctf1, Anapc11, Anapc2, Anapc5, Aurkb, Cdc23, Cdc27, Cdca8, Cenpc1, Cenpf, Ckap5, Dync1h1, Dynll1, Hdac8, Kif18a, Mad1l1, Mis12, Nudc, Ppp2r5b, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Rangap1, Rcc2, Ska2, Smc1a, Spc24, Spdl1, Stag2, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Ube2d1, Ube2e1, Wapl, Xpo1"
"Regulation of mRNA stability by proteins that bind AU-rich elements","1.661e-02","76","Eif4g1, Exosc5, Exosc9, Hnrnpd, Hspa8, Hspb1, Khsrp, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Tnpo1, Xpo1, Ywhab, Ywhaz","4.215e-02","77","Eif4g1, Exosc5, Exosc9, Hnrnpd, Hspa8, Hspb1, Khsrp, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Tnpo1, Xpo1, Ywhab, Ywhaz"
"Dual incision in TC-NER","2.864e-02","56","Aqr, Ep300, Ercc2, Ercc3, Ercc4, Gtf2h4, Pole4, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Rbx1, Rfc4, Rfc5, Tcea1, Usp7, Xab2","3.474e-02","57","Aqr, Cul4a, Ep300, Ercc2, Ercc3, Ercc4, Gtf2h4, Pole4, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppie, Rbx1, Rfc4, Rfc5, Tcea1, Usp7, Xab2"
"Degradation of the extracellular matrix","2.547e-02","56","Adam10, Adam8, Capn13, Capn2, Capn5, Cd44, Cma1, Col11a2, Col12a1, Col15a1, Col18a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a2, Col6a1, Col6a5, Col7a1, Ctrb1, Ctsk, Ctss, Fbn1, Mmp14, Mmp9, Nid1, Phykpl, Scube1, Spp1, Tmprss6","4.558e-02","71","A2m, Adam10, Adam8, Capn13, Capn2, Capn3, Capn5, Capn7, Capns1, Cd44, Cma1, Col11a2, Col12a1, Col15a1, Col4a1, Col4a2, Col4a6, Col5a2, Col6a1, Col6a5, Col6a6, Col7a1, Ctrb1, Ctsb, Ctsd, Ctsk, Ctsl, Ctss, Fn1, Furin, Mmp11, Mmp12, Mmp14, Mmp17, Mmp24, Mmp25, Mmp9, Nid1, Phykpl, Scube1, Spock3, Timp1, Tmprss6"
"Processing of Capped Intron-Containing Pre-mRNA","3.550e-02","213","Alyref, Aqr, Chtop, Cpsf1, Cpsf3, Cstf1, Cstf2t, Cwc27, Dhx16, Eif4e, Fus, Gpkow, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnpf, Hnrnpk, Hspa8, Lsm2, Lsm4, Lsm8, Magoh, Ncbp2, Ndc1, Nudt21, Nup155, Nup188, Nup62, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Pom121, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rnps1, Sarnp, Sf3b6, Smndc1, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Srrm2, Srsf11, Srsf2, Sympk, Txnl4a, U2surp, Usp39, Wdr33, Xab2, Ybx1","3.057e-02","215","Alyref, Aqr, Chtop, Cpsf1, Cpsf3, Cpsf6, Cstf1, Cstf2t, Dhx16, Eif4e, Fus, Gpkow, Gtf2f1, Hnrnpa1, Hnrnpd, Hnrnpf, Hnrnph2, Hnrnpk, Hnrnpl, Hspa8, Lsm2, Lsm4, Magoh, Ncbp2, Ndc1, Nudt21, Nup155, Nup188, Nxf7, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Pom121, Ppie, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rbmx, Rnps1, Sarnp, Sf3a1, Sf3b5, Sf3b6, Smndc1, Snrnp27, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snw1, Srrm2, Srsf11, Srsf2, Srsf5, Sympk, U2surp, Usp39, Wdr33, Xab2, Ybx1"
"Deadenylation-dependent mRNA decay","4.424e-02","51","Cnot10, Cnot2, Cnot4, Cnot6, Cnot7, Ddx6, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Exosc9, Lsm2, Lsm4, Paip1, Patl1, Wdr61","3.399e-02","51","Cnot10, Cnot2, Cnot4, Cnot6, Cnot7, Ddx6, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Exosc5, Exosc9, Lsm2, Lsm4, Paip1, Patl1, Tnks1bp1, Wdr61"
