"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"leaflet.providers","leaflet.providers","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"lifecycle","lifecycle","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"limma","limma","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.52.4",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.2.0"
"listenv","listenv","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"locfit","locfit","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.5-9.6",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"lubridate","lubridate","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.9.0",NA,"methods, timechange (>= 0.1.1), R (>= 3.2)","generics",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"lwgeom","lwgeom","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2-10",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 0.9-3)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"MASS","MASS","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","7.3-58.1","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"mathjaxr","mathjaxr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.6-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"Matrix","Matrix","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.5-3","recommended","R (>= 3.5.0), methods","graphics, grid, lattice, stats, utils",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.0"
"MatrixGenerics","MatrixGenerics","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8.1",NA,"matrixStats (>= 0.60.1)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0), Matrix",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"matrixStats","matrixStats","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.62.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"mclust","mclust","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","6.0.0",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"memoise","memoise","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"metap","metap","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8",NA,"R (>= 3.5.0)","lattice,Rdpack (>= 0.7),TFisher,mutoss,mathjaxr (>=
0.8-3),qqconf",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"metapod","metapod","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4.0",NA,NA,"Rcpp","Rcpp","testthat, knitr, BiocStyle, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"metR","metR","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.13.0",NA,"R (>= 2.10)","checkmate, data.table, digest, Formula, formula.tools, ggplot2
(>= 3.0.0), grid, gtable, memoise, plyr, scales, sp, stringr,
purrr, isoband, lubridate",NA,"maps, maptools, covr, irlba, knitr, ncdf4, pkgdown, reshape2,
rmarkdown, testthat (>= 2.1.0), viridis, PCICt, gridExtra,
vdiffr, proj4, kriging, raster, rgdal, here, gsignal",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"mice","mice","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.14.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, graphics, grDevices, lattice, methods,
Rcpp, rlang, stats, tidyr, utils, withr","cpp11, Rcpp","broom.mixed, decor, glmnet, haven, knitr, lme4, lmtest, MASS,
metafor, mitml, miceadds, nnet, pan, randomForest, ranger,
rmarkdown, rpart, survival, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"mime","mime","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"mnormt","mnormt","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"modelr","modelr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.10",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"MsCoreUtils","MsCoreUtils","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8.0",NA,"R (>= 3.6.0)","methods, S4Vectors, MASS, stats, clue","Rcpp","testthat, knitr, BiocStyle, rmarkdown, roxygen2, imputeLCMD,
impute, norm, pcaMethods, vsn, Matrix, preprocessCore",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"multcomp","multcomp","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4-20",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"multtest","multtest","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.52.0",NA,"R (>= 2.10), methods, BiocGenerics, Biobase","survival, MASS, stats4",NA,"snow",NA,"LGPL",NA,NA,NA,NA,"yes","4.2.0"
"mutoss","mutoss","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1-13",NA,"R (>= 2.10.0), mvtnorm","plotrix, multtest (>= 2.2.0), multcomp (>= 1.1-0), methods",NA,"fdrtool, qvalue, testthat, lattice",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"mzID","mzID","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.34.0",NA,"methods","XML, plyr, parallel, doParallel, foreach, iterators,
ProtGenerics",NA,"knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"nleqslv","nleqslv","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.3.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"openssl","openssl","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.0.4",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"operator.tools","operator.tools","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.6.3",NA,NA,"utils (>= 3.3.2)",NA,"operators (>= 0.1.8), magrittr (>= 1.5), testthat (>= 1.0.2)",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"org.Hs.eg.db","org.Hs.eg.db","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.15.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.57.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"org.Mm.eg.db","org.Mm.eg.db","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.15.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.57.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"OrganismDbi","OrganismDbi","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.38.1",NA,"R (>= 2.14.0), methods, BiocGenerics (>= 0.15.10),
AnnotationDbi (>= 1.33.15), GenomicFeatures (>= 1.39.4)","Biobase, BiocManager, GenomicRanges (>= 1.31.13), graph,
IRanges, RBGL, DBI, S4Vectors (>= 0.9.25), stats",NA,"Homo.sapiens, Rattus.norvegicus, BSgenome.Hsapiens.UCSC.hg19,
AnnotationHub, FDb.UCSC.tRNAs, mirbase.db, rtracklayer,
biomaRt, RUnit, RMariaDB",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"pander","pander","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"parallelly","parallelly","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.32.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"patchwork","patchwork","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1.2",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pbapply","pbapply","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.5-0",NA,"R (>= 3.2.0)","parallel",NA,"shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"pcaMethods","pcaMethods","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.88.0",NA,"Biobase, methods","BiocGenerics, Rcpp (>= 0.11.3), MASS","Rcpp","matrixStats, lattice, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"permute","permute","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"plogr","plogr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"plotly","plotly","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","4.10.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"plotrix","plotrix","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"plyr","plyr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"png","png","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"polyclip","polyclip","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.10-4",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.2.0"
"preprocessCore","preprocessCore","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.58.0",NA,NA,"stats",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"processx","processx","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.8.0",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.0), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"promises","promises","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ProtGenerics","ProtGenerics","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.28.0",NA,"methods",NA,NA,"testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"proxy","proxy","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"PRROC","PRROC","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.3.1",NA,NA,NA,NA,"testthat, ggplot2, ROCR",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ps","ps","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.7.2",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0),",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"qqconf","qqconf","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.3.2",NA,"R (>= 4.0.0)","MASS (>= 7.3-50), robustbase (>= 0.93-4), Rcpp","Rcpp","knitr, rmarkdown, distr (>= 2.8.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"qvalue","qvalue","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.28.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","4.2.0"
"R.methodsS3","R.methodsS3","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.oo","R.oo","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.25.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.utils","R.utils","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.12.2",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"ragg","ragg","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.4",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rapidjsonr","rapidjsonr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rappdirs","rappdirs","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RBGL","RBGL","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.72.0",NA,"graph, methods","methods","BH","Rgraphviz, XML, RUnit, BiocGenerics",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"rbibutils","rbibutils","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.2.15",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"Rcpp","Rcpp","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.9",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppArmadillo","RcppArmadillo","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.11.4.2.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppEigen","RcppEigen","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.3.3.9.3",NA,"R (>= 3.6.0)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RcppML","RcppML","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.3.7",NA,NA,"Rcpp, Matrix, methods, stats","Rcpp, RcppEigen","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RCurl","RCurl","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.98-1.9",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"Rdpack","Rdpack","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.5",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"reactome.db","reactome.db","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.81.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.33.0)","methods, AnnotationDbi",NA,"RSQLite",NA,"CC BY 4.0",NA,NA,NA,NA,"no","4.2.0"
"ReactomePA","ReactomePA","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.40.0",NA,"R (>= 3.4.0)","AnnotationDbi, DOSE (>= 3.5.1), enrichplot, ggplot2 (>=
3.3.5), ggraph, reactome.db, igraph, graphite",NA,"BiocStyle, clusterProfiler, knitr, rmarkdown, org.Hs.eg.db,
prettydoc, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"readxl","readxl","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4.1",NA,"R (>= 3.4)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rematch","rematch","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rematch2","rematch2","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"reprex","reprex","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.0.2",NA,"R (>= 3.4)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"reshape2","reshape2","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"restfulr","restfulr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.0.15",NA,"R (>= 3.4.0), methods","XML, RCurl, rjson, S4Vectors (>= 0.13.15), yaml",NA,"getPass, rsolr, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"rhdf5","rhdf5","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.40.0",NA,"R (>= 4.0.0), methods","Rhdf5lib (>= 1.13.4), rhdf5filters","Rhdf5lib","bit64, BiocStyle, knitr, rmarkdown, testthat, microbenchmark,
dplyr, ggplot2, mockery",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"rhdf5filters","rhdf5filters","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8.0",NA,NA,NA,"Rhdf5lib","BiocStyle, knitr, rmarkdown, testthat (>= 2.1.0), rhdf5 (>=
2.34.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"Rhdf5lib","Rhdf5lib","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.18.2",NA,"R (>= 4.0.0)",NA,NA,"BiocStyle, knitr, rmarkdown, tinytest, mockery",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"Rhtslib","Rhtslib","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.28.0",NA,NA,"zlibbioc","zlibbioc","knitr, rmarkdown, BiocStyle",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rjson","rjson","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"rlang","rlang","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1.2",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
