"Parent Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Clathrin-mediated endocytosis","1.598e-04","112","Aak1, Actg1, Actr2, Ap2a1, Ap2m1, Ap2s1, Apob, Areg, Arf6, Arpc1a, Arpc2, Arpc3, Btc, Cbl, Cftr, Cltb, Cltc, Cops6, Cops8, Egfr, Epn1, Ereg, Gak, Grb2, Grk2, Hbegf, Hgs, Hspa8, Ldlr, M6pr, Necap2, Nedd8, Pacsin3, Pip5k1c, Rab5a, Rab5b, Scarb2, Tgoln1, Trf, Trip10, Ubc, Ubqln1, Ubqln2, Vamp8","1.793e-04","119","Aak1, Actg1, Actr2, Adrb2, Ap2m1, Ap2s1, Apob, Areg, Arf6, Arpc1a, Arpc2, Arpc3, Btc, Cbl, Cltb, Cltc, Cops2, Cops6, Cops7a, Cops8, Egfr, Epn1, Ereg, Fcho1, Fzd4, Gak, Grb2, Grk2, Hbegf, Hgs, Hspa8, Ldlr, M6pr, Necap2, Nedd8, Pacsin3, Rab5a, Rab5b, Rab5c, Scarb2, Tgfa, Tgoln1, Trf, Ubc, Ubqln1, Ubqln2, Vamp8"
"Class A/1 (Rhodopsin-like receptors)","2.060e-04","99","C3ar1, Ccl12, Ccl5, Chrm2, Chrm3, Cmklr1, Cxcl1, Cxcl10, Cxcl2, Cxcr2, Edn1, Ffar2, Galr3, Gnrh1, Gper1, Gpr132, Gpr183, Gpr4, Gpr68, Hcar2, Htr6, Kiss1r, Npy4r, Oprd1, P2ry1, Ptafr, Ptger1, S1pr1, S1pr2, S1pr4, Taar1","1.862e-04","148","Ackr4, Adrb1, Adrb3, Bdkrb1, C3ar1, C5ar2, Cck, Cckar, Ccl12, Ccl28, Ccl3, Ccl4, Ccl5, Ccl6, Ccl7, Ccr3, Chrm2, Chrm3, Cmklr1, Cnr1, Cort, Cxcl1, Cxcl10, Cxcl2, Cxcl5, Cxcr2, Cxcr3, Ece1, Edn1, Edn3, Ednra, Ffar2, Ffar3, Galr3, Gnrh1, Gper1, Gphb5, Gpr132, Gpr18, Gpr183, Gpr4, Gpr65, Gpr68, Hcar1, Hcar2, Hcrtr1, Htr1d, Htr6, Htr7, Kiss1r, Lpar6, Nln, Nmb, Nms, Nmu, Nmur1, Nps, Npy1r, Npy4r, Opn1sw, Oprd1, Oxt, P2ry1, Plppr3, Pomc, Prok1, Ptafr, Ptger1, Ptgir, Rln3, Rrh, Rxfp4, S1pr1, S1pr2, S1pr4, S1pr5, Sstr3, Taar1, Tacr1, Xcl1"
"Negative regulation of MAPK pathway","7.251e-04","38","Dusp10, Dusp5, Dusp6, Dusp7, Dusp9, Hras, Map2k2, Pebp1, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Ubc, Ywhab","2.651e-04","38","Dusp10, Dusp5, Dusp6, Dusp7, Dusp9, Hras, Kras, Map2k1, Map2k2, Mapk3, Pebp1, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Ubc, Ywhab"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC","1.354e-03","26","B2m, Bcap31, Calr, Canx, H2-K1, H2-Q6, Hspa5, Pdia3, Sec23a, Sec24b, Tap1, Tap2, Tapbp","2.576e-04","28","B2m, Calr, H2-K1, H2-Q6, H2-Q7, H2-T23, Hspa5, Sec23a, Sec24b, Tap1, Tap2, Tapbp"
"Gap junction trafficking","5.842e-04","26","Actg1, Ap2m1, Cltb, Cltc, Gja1, Gjb1, Gjb4, Tuba1a, Tuba1c, Tubb2a, Tubb2b, Tubb4b, Tubb6","1.399e-03","30","Actg1, Ap2m1, Cltb, Gja1, Gjb1, Gjb4, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6"
"RAF activation","7.450e-04","32","Calm1, Calm2, Calm3, Hras, Map2k2, Map3k11, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r5b, Ywhab","1.015e-03","33","Calm1, Calm2, Calm3, Hras, Kras, Map2k2, Map3k11, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1b, Ppp2r5b, Ywhab"
"Antiviral mechanism by IFN-stimulated genes","7.219e-03","29","Abce1, Eif4a1, Eif4a3, Eif4e, Eif4e2, Eif4g1, Eif4g3, Flnb, Irf3, Isg15, Mapk3, Oasl1, Plcg1, Ppm1b, Rnasel, Trim25, Ube2l6, Ube2n, Usp18","1.376e-03","30","Abce1, Eif2ak2, Eif4a1, Eif4a3, Eif4e2, Eif4g1, Flnb, Irf3, Isg15, Mapk3, Oasl1, Pde12, Ppm1b, Rnasel, Trim25, Ube2l6, Ube2n, Usp18"
"O-glycosylation of TSR domain-containing proteins","1.071e-03","21","Adamts10, Adamts15, Adamts17, Adamts19, Adamts2, Adamts4, Adamts5, Adamtsl1, Spon1, Thsd1, Thsd7a","4.462e-03","28","Adamts15, Adamts16, Adamts17, Adamts19, Adamts2, Adamts3, Adamts4, Adamts5, Adamtsl1, Adamtsl2, Adamtsl3, Spon1, Thsd1, Thsd7a"
"Synthesis of active ubiquitin: roles of E1 and E2 enzymes","2.603e-03","27","Cdc34, Uba1, Uba6, Ubc, Ube2a, Ube2b, Ube2c, Ube2d1, Ube2d2a, Ube2k, Ube2l3, Ube2q2, Ube2r2, Ube2s, Ube2z, Usp5, Usp7","4.110e-03","27","Cdc34, Uba1, Ubc, Ube2a, Ube2b, Ube2c, Ube2d1, Ube2d2a, Ube2k, Ube2q2, Ube2r2, Ube2s, Ube2z"
"Signaling by NOTCH","9.333e-03","34","Adam10, Aph1a, Dtx2, Egfr, Furin, Jag1, Maml1, Notch1, Prkci, Psenen, Tmed2, Ubc, Ybx1","3.440e-03","35","Adam10, Dtx2, Egfr, Furin, Jag1, Maml1, Notch1, Prkci, Psenen, Tmed2, Ubc, Ybx1, Ywhaz"
"Formation of RNA Pol II elongation complex ","3.421e-03","53","Ccnt1, Ccnt2, Cdc73, Cdk7, Cdk9, Eaf1, Ell, Elob, Gtf2f1, Gtf2f2, Mllt1, Ncbp1, Nelfa, Nelfe, Polr2e, Polr2f, Polr2h, Polr2i, Ssrp1, Supt16, Supt4a, Supt5, Tcea1","1.065e-02","53","Ccnt1, Cdc73, Cdk7, Cdk9, Eaf1, Ell, Eloa, Elob, Gtf2f1, Gtf2f2, Gtf2h5, Leo1, Mllt1, Ncbp1, Nelfa, Nelfe, Polr2e, Polr2f, Polr2g, Polr2h, Polr2i, Ssrp1, Supt16, Supt4a, Supt5, Tcea1"
"Cholesterol biosynthesis","1.213e-02","26","Acat2, Cyp51, Dhcr24, Dhcr7, Ebp, Fdft1, Fdps, Hmgcr, Hmgcs1, Idi1, Lbr, Lss, Msmo1, Mvd, Mvk, Pmvk, Srebf1, Srebf2","4.356e-03","27","Acat2, Cyp51, Dhcr24, Fdft1, Fdps, Hmgcr, Hmgcs1, Lss, Msmo1, Mvd, Mvk, Pmvk, Srebf1, Srebf2"
"Fatty acyl-CoA biosynthesis","1.454e-02","27","Acaca, Acly, Acsbg1, Acsl3, Acsl4, Acsl5, Elovl1, Elovl5, Fasn, Hacd1, Hacd3, Hsd17b12, Ppt2, Scd1, Slc25a1, Tecr","1.415e-02","28","Acly, Acsbg1, Acsl3, Acsl4, Acsl5, Elovl1, Fasn, Hacd1, Hsd17b12, Ppt2, Scd1, Slc25a1, Tecr"
"p75 NTR receptor-mediated signalling","2.841e-02","70","Akap13, Aph1a, Arhgdia, Arhgef5, Arhgef7, Bex3, Gna13, Nfkb1, Ngf, Plekhg2, Prex1, Prkci, Psenen, Rac1, Rela, Rhoa, Rtn4, Sqstm1, Trio, Ubc, Ywhae","2.948e-02","73","Akap13, Arhgdia, Arhgef5, Bex3, Gna13, Nfkb1, Ngf, Plekhg2, Prex1, Prkci, Psenen, Rac1, Rela, Rhoa, Rtn4, Sqstm1, Tiam2, Ubc, Ywhae"
